	event	date	location	mainEvent
313	Budo Fighting Championships	Saturday, November 03, 11:00 AM E	Swansea, Wales	
314	UFC 230	Saturday, November 03, 10:00 PM E	New York City, New York	
315	XFN	Friday, November 09, 10:00 AM E	Czech Republic	
316	FNF 16	Saturday, November 10, 12:00 PM E	Karkkila, Finland	
317	UCMMA 57	Saturday, November 10, 12:30 PM E	London, England	
318	MMA Total Combat 78	Saturday, November 10,  1:00 PM E	Spennymoor, County Durham, England	
319	Integra FC 11	Saturday, November 10,  1:00 PM E	Wittlich, Germany	
320	Atlas MMA 4	Saturday, November 10,  1:00 PM E	Netherlands	
321	UFC UFN	Saturday, November 10, 10:00 PM E	Denver, Colorado	
322	WCSA Combat Ring 27	Friday, November 16, 12:00 AM E	Magnitogorsk, Russia	
323	Shooto	Saturday, November 17, 12:00 AM E	Tokyo, Japan	
324	Fight Nights Global 97	Saturday, November 17, 12:00 AM E	Sao Paolo, Brazil	
325	Clan Wars 33	Saturday, November 17, 10:00 AM E	Belfast, Northern Ireland	
326	Budo Fighting Championships	Saturday, November 17, 11:00 AM E	Grangemouth, Scotland	
327	Raged UK 9	Saturday, November 17,  1:00 PM E	Swindon, England	
328	Cage Wars 39	Saturday, November 17,  7:00 PM E	Schenectady, New York	
329	All Russian MMA Championship 2018	Sunday, November 18,  8:00 PM E	Moscow, Russia	
330	Generations of Combat FC 4	Saturday, November 24, 12:00 PM E	Sunderland, England	
331	We Love MMA 43	Saturday, November 24,  1:00 PM E	Hamburg, Germany	
332	Contenders Norwich 26	Saturday, November 24,  1:00 PM E	Norwich, Norfolk, England	
333	MTK MMA 5	Sunday, November 25,  1:00 PM E	Newcastle, England	
334	Shooto	Saturday, December 01, 12:00 AM E	Tokyo, Japan	
335	One Pride MMA Fight Night 25	Saturday, December 01,  3:00 AM E	Kelapa Gading, Jakarta Utara, Indonesia	
336	Superior Challenge 18	Saturday, December 01,  1:00 PM E	Stockholm, Sweden	
337	British Challenge MMA 23	Saturday, December 01,  1:00 PM E	Colchester, Essex, England	
338	Austrian FC 8	Saturday, December 01,  1:00 PM E	Vienna, Austria	
339	IRFA 16	Saturday, December 08, 12:00 PM E	Sweden	
340	WCMMA 35	Saturday, December 08,  1:00 PM E	London, England	
341	Shock n' Awe Contenders 5	Saturday, December 08,  1:00 PM E	Portsmouth, England, UK	
342	We Love MMA 45	Saturday, December 08,  1:00 PM E	Berlin, Germany	
343	Mannheimer Hafenkeilerei 7	Saturday, December 08,  1:00 PM E	Mannheim, Germany	
344	Fight Nights Global 99	Friday, December 14, 12:00 AM E	Moscow, Russia	
345	MMA Berlin Tournament 57	Saturday, December 15,  1:00 PM E	Berlin, Germany	
346	WCSA Combat Ring 28	Friday, December 21, 12:00 AM E	Ufa, Russia	
347	SHOOTO KINGS 7	Saturday, December 22,  1:00 PM E	Reutlingen, Germany	
348	Fight Nights Global 100	Friday, December 28, 12:00 AM E	Miami, Florida	
349	UFC 232	Saturday, December 29, 10:00 PM E	Last Vegas, Nevada	
350	RIZIN 14	Monday, December 31, 12:00 AM E	Saitama, Japan	
351	PFL 2018 #11	Monday, December 31,  8:00 PM E		
352	We Love MMA 46	Saturday, February 02,  1:00 PM E	Hanover, Germany	
